"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","catsys","optu","optl","optr","optd","catchange"
"cR703916",1,"culture","right","yes",4,"s1900",FALSE,"1,1,1,1,1,1,1,0,0,0","1,1,1,1,1,1,0,0,0,0",9,1,0,6,-1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,2,1
"cR419417",1,"culture","right","yes",6,"s1900",TRUE,"1,1,1,1,1,0,0,0,0,0","1,1,1,1,1,0,0,0,0,0",10,1,0,5,0,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,0
"iR849000",1,"individual","right","yes",8,"s9878",TRUE,"1,1,1,0,0,0,0,0,0,1","1,1,1,0,0,0,0,0,0,1",10,2,0,4,0,0,0,0,1,1,1,1,1,1,0,"0001111110",1,7,3,3,0
"iU898134",1,"individual","uniform","no",6,"s6822",FALSE,"0,1,0,1,1,0,1,0,0,0","0,1,1,0,0,1,1,1,1,0",4,4,-2,4,-2,0,1,1,0,0,1,1,1,1,0,"0110011110",1,2,3,1,6
"iL926447",1,"individual","left","yes",3,"s5895",FALSE,"0,0,0,0,1,1,0,0,0,1","0,0,0,0,1,1,1,0,0,1",9,3,0,6,-1,0,0,0,0,1,1,1,0,0,1,"0000111001",1,5,1,5,1
"iR592094",1,"individual","right","yes",6,"s8757",FALSE,"0,0,1,0,1,1,1,1,1,0","0,0,0,0,1,1,1,1,1,0",9,2,-2,5,1,0,0,0,0,1,1,1,1,1,0,"0000111110",0,8,2,2,1
"cU919743",0,"culture","uniform","no",8,"s1200",FALSE,"1,1,1,0,1,0,1,0,1,0","1,1,1,0,1,1,0,1,0,0",6,5,-2,6,0,0,0,0,1,0,0,1,0,1,1,"0001001011",1,5,2,1,4
"cU505951",1,"culture","uniform","no",4,"s1000",TRUE,"0,0,0,0,0,0,0,1,1,0","0,0,0,0,0,0,0,1,1,0",10,2,0,8,0,0,0,0,0,0,0,0,1,1,0,"0000000110",3,5,1,3,0
"cU912321",0,"culture","uniform","no",3,"s1200",FALSE,"1,1,0,0,0,0,0,1,1,0","0,1,1,1,1,1,0,0,0,1",2,3,0,4,0,1,0,0,0,0,0,1,1,1,0,"1000001110",1,5,5,1,8
"cL238016",1,"culture","left","yes",5,"s4000",FALSE,"1,1,1,1,0,0,0,0,0,0","1,1,1,1,1,0,0,0,0,0",9,1,0,5,1,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,1
