"lineage","iteration","participant","trial","stim_color","stim_color_rescale","stim_frequency","RT","bounded","skew","condition"
"19",4,"cR703916",1,50,0.111111111111111,0.0333333333333333,936,"0","S","C"
"19",4,"cR703916",2,75,0.222222222222222,0.0333333333333333,860,"0","S","C"
"19",4,"cR703916",3,150,0.555555555555556,0.0666666666666667,723,"1","S","C"
"19",4,"cR703916",4,175,0.666666666666667,0.1,1061,"1","S","C"
"19",4,"cR703916",5,200,0.777777777777778,0.133333333333333,1101,"0","S","C"
"19",4,"cR703916",6,125,0.444444444444444,0.0666666666666667,693,"0","S","C"
"19",4,"cR703916",7,250,1,0.333333333333333,756,"0","S","C"
"19",4,"cR703916",8,100,0.333333333333333,0.0333333333333333,970,"0","S","C"
"19",4,"cR703916",9,225,0.888888888888889,0.166666666666667,1026,"0","S","C"
"19",4,"cR703916",10,25,0,0.0333333333333333,969,"0","S","C"
"19",6,"cR419417",1,225,0.888888888888889,0.166666666666667,916,"0","S","C"
"19",6,"cR419417",2,50,0.111111111111111,0.0333333333333333,1023,"0","S","C"
"19",6,"cR419417",3,150,0.555555555555556,0.0666666666666667,1254,"1","S","C"
"19",6,"cR419417",4,250,1,0.333333333333333,948,"0","S","C"
"19",6,"cR419417",5,75,0.222222222222222,0.0333333333333333,1163,"0","S","C"
"19",6,"cR419417",6,175,0.666666666666667,0.1,859,"0","S","C"
"19",6,"cR419417",7,100,0.333333333333333,0.0333333333333333,779,"0","S","C"
"19",6,"cR419417",8,125,0.444444444444444,0.0666666666666667,1079,"1","S","C"
"19",6,"cR419417",9,200,0.777777777777778,0.133333333333333,910,"0","S","C"
"19",6,"cR419417",10,25,0,0.0333333333333333,794,"0","S","C"
"s98788102",8,"iR849000",1,200,0.777777777777778,0.133333333333333,1319,"0","S","I"
"s98788102",8,"iR849000",2,25,0,0.0333333333333333,1111,"0","S","I"
"s98788102",8,"iR849000",3,50,0.111111111111111,0.0333333333333333,1108,"0","S","I"
"s98788102",8,"iR849000",4,175,0.666666666666667,0.1,1103,"0","S","I"
"s98788102",8,"iR849000",5,250,1,0.333333333333333,985,"1","S","I"
"s98788102",8,"iR849000",6,75,0.222222222222222,0.0333333333333333,1840,"1","S","I"
"s98788102",8,"iR849000",7,100,0.333333333333333,0.0333333333333333,1718,"1","S","I"
"s98788102",8,"iR849000",8,125,0.444444444444444,0.0666666666666667,1017,"0","S","I"
"s98788102",8,"iR849000",9,225,0.888888888888889,0.166666666666667,1784,"1","S","I"
"s98788102",8,"iR849000",10,150,0.555555555555556,0.0666666666666667,1205,"0","S","I"
"s68224617",6,"iU898134",1,50,0.111111111111111,0.1,5493,"1","U","I"
"s68224617",6,"iU898134",2,225,0.888888888888889,0.1,4513,"1","U","I"
"s68224617",6,"iU898134",3,75,0.222222222222222,0.1,1572,"1","U","I"
"s68224617",6,"iU898134",4,250,1,0.1,876,"1","U","I"
"s68224617",6,"iU898134",5,150,0.555555555555556,0.1,2589,"1","U","I"
"s68224617",6,"iU898134",6,100,0.333333333333333,0.1,1705,"1","U","I"
"s68224617",6,"iU898134",7,125,0.444444444444444,0.1,1975,"1","U","I"
"s68224617",6,"iU898134",8,25,0,0.1,1297,"1","U","I"
