"","participant","session_code","condition","distribution","chain","generation","parent","word0","word1","round","final_round","converged","correct_mapping","produced_mapping","score","trainset","testset","trainresponses","testresponses","trainresponse_changes","testresponse_changes","train_RTs","test_RTs","duration_consent","duration_callback","duration_comprehension","duration_instruction","duration_round","duration_experiment","whole_experiment","jointime_webapp2","jointime_user","jointime_user_UTC","comprehension_tries","experiment","created","bonused","system1024","system512","system1024_input","system512_input","N_boundaries","N_boundaries_input","N_boundaries_change","n_label1","n_label1_input","n_label1_change","p_input","p_output","p_change","trajectory","iteration"
"1","cR703916","s67779524","C","R",19,4,"cR394666","vit","lem",1,TRUE,FALSE,"1,1,1,1,1,1,1,0,0,0","1,1,1,1,1,1,0,0,0,0",9,"9,9,5,8,1,9,9,0,9,6,9,8,8,3,4,9,4,7,8,2,7,8,9,6,7,9,5,9,7,6","1,2,5,6,7,4,9,3,8,0","0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0","1,1,1,0,0,1,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","4762,1747,1145,1251,3649,1378,897,857,2139,13681,937,4229,1006,788,946,1320,947,3695,806,12340,922,737,1245,1137,2841,1501,1209,768,1620,694","936,860,723,1061,1101,693,756,970,1026,969",9220,165,50423,4037,260643,324488,5,"13:27:17 07/09/19 UTC","Tue Jul 09 2019 09:27:15 GMT-0400 (Eastern Daylight Time)","13:27:15 07/09/19 UTC",0,"category_change_1","13:32:32 07/09/19 UTC","no","1111110000","1111110000","1111111000","1111111000",1,1,0,6,7,-1,0.3,0.4,0.1,"19",4
"2","cR419417","s67053658","C","R",19,6,"cR102508","pon","fud",1,TRUE,TRUE,"1,1,1,1,1,0,0,0,0,0","1,1,1,1,1,0,0,0,0,0",10,"9,9,9,8,9,8,8,9,9,9,7,5,7,3,5,0,6,6,8,4,8,6,9,7,4,2,9,7,9,1","8,1,5,9,2,6,3,4,7,0","0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1","0,1,0,0,1,0,1,1,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2739,2004,1485,1482,865,1094,962,1006,639,1215,1216,4239,906,3074,1327,930,1502,1154,1587,1695,1304,1385,2241,1763,1333,1160,1962,664,1102,1269","916,1023,1254,948,1163,859,779,1079,910,794",9528,266,52107,22194,241653,325747,5,"13:45:16 07/09/19 UTC","Tue Jul 09 2019 09:45:16 GMT-0400 (Eastern Daylight Time)","13:45:16 07/09/19 UTC",0,"category_change_1","13:50:32 07/09/19 UTC","no","1111100000","1111100000","1111100000","1111100000",1,1,0,5,5,0,0.5,0.5,0,"19",6
"3","iR849000","s98788102","I","R",NA,NA,NA,"pon","fud",8,TRUE,TRUE,"1,1,1,0,0,0,0,0,0,1","1,1,1,0,0,0,0,0,0,1",10,"9,0,3,8,9,4,9,9,2,6,1,4,9,9,7,8,8,7,6,6,9,7,8,5,7,8,9,5,9,9","7,0,1,6,9,2,3,4,8,5","1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1","0,1,1,0,1,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1285,1142,1506,1253,2084,1210,1178,1570,1559,1177,1053,1280,1387,1258,1309,943,1275,1125,1005,1102,1182,1150,1087,1365,1109,1860,1626,1166,1084,978","1319,1111,1108,1103,985,1840,1718,1017,1784,1205",7419,249,78511,13565,223536,2691477,45,"13:09:56 07/09/19 UTC","Tue Jul 09 2019 09:09:57 GMT-0400 (Eastern Daylight Time)","13:09:57 07/09/19 UTC",0,"category_change_1","13:54:40 07/09/19 UTC","no","1110000001","1110000001","1110000001","1110000001",2,2,0,4,4,0,0.4,0.4,0,"s98788102",8
"4","iU898134","s68224617","I","U",NA,NA,NA,"pon","fud",6,FALSE,FALSE,"0,1,0,1,1,0,1,0,0,0","0,1,1,0,0,1,1,1,1,0",4,"4,7,4,8,1,8,7,2,2,0,9,7,6,9,3,5,0,3,9,5,6,6,3,1,0,2,5,8,1,4","1,8,2,9,5,3,4,0,7,6","1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1","1,1,1,0,1,0,0,0,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","3892,1674,1361,1421,2660,1221,2222,2310,995,1139,4822,3371,2956,1076,1741,975,1306,3038,1307,2399,1087,1101,1922,2059,1477,1596,1188,1063,1809,3275","5493,4513,1572,876,2589,1705,1975,1297,2442,1229",12433,200,34954,18588,264073,1589142,NA,"13:28:01 07/09/19 UTC","Tue Jul 09 2019 06:28:01 GMT-0700 (Pacific Daylight Time)","13:28:01 07/09/19 UTC",0,"category_change_1","13:54:17 07/09/19 UTC","no","0110011110","1001100001","0101101000","1010010111",4,6,-2,4,6,-2,0.4,0.4,0,"s68224617",6
"5","iL926447","s58950520","I","L",NA,NA,NA,"seb","nuk",3,FALSE,FALSE,"0,0,0,0,1,1,0,0,0,1","0,0,0,0,1,1,1,0,0,1",9,"1,0,3,2,3,0,0,7,6,0,0,2,1,3,0,2,5,1,4,5,9,8,1,0,0,4,1,0,0,2","6,5,7,4,3,2,8,1,9,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0","1,1,0,1,0,0,0,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,1,0,0,0","1284,944,7058,1286,1961,1786,894,4093,2248,1050,1244,2155,1062,1392,1030,1014,2021,1217,2093,1678,1019,1857,857,1208,1324,1530,880,846,925,2010","1805,1289,2848,1598,1186,1057,1067,1164,1038,993",10301,478,301257,26306,238387,1102933,NA,"13:03:41 07/09/19 UTC","Tue Jul 09 2019 09:03:41 GMT-0400 (Eastern Daylight Time)","13:03:41 07/09/19 UTC",0,"category_change_1","13:21:54 07/09/19 UTC","no","0000111001","1111000110","0000110001","1111001110",3,3,0,6,7,-1,0.3,0.4,0.1,"s58950520",3
"6","iR592094","s87572895","I","R",NA,NA,NA,"buv","kal",6,FALSE,FALSE,"0,0,1,0,1,1,1,1,1,0","0,0,0,0,1,1,1,1,1,0",9,"5,6,4,9,9,8,9,8,7,6,8,6,9,0,9,2,4,8,3,7,8,9,9,7,9,5,1,7,9,9","5,8,1,3,4,7,2,0,6,9","1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0","1,1,0,0,1,1,0,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,0,0,0,0,0,0,0,0,0","865,856,1426,600,349,842,709,648,611,699,1362,819,690,718,979,1209,456,1021,522,499,711,827,666,677,872,924,621,737,643,657","818,596,681,896,505,751,1072,814,782,631",13090,218,25345,1023,191906,1309811,NA,"13:08:25 07/09/19 UTC","Tue Jul 09 2019 09:08:25 GMT-0400 (Eastern Daylight Time)","13:08:25 07/09/19 UTC",1,"category_change_1","13:30:01 07/09/19 UTC","no","0000111110","1111000001","0010111110","1101000001",2,4,-2,5,4,1,0.4,0.5,0.1,"s87572895",6
"7","cU919743","s10804864","C","U",12,8,"cU948973","gos","tef",1,TRUE,FALSE,"1,1,1,0,1,0,1,0,1,0","1,1,1,0,1,1,0,1,0,0",6,"2,2,2,9,8,0,4,7,9,7,6,1,5,4,8,8,3,0,1,7,3,6,1,0,9,5,3,6,5,4","8,2,0,4,5,9,1,6,3,7","0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1","0,1,1,1,1,0,1,0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,1","4595,1281,713,1460,2021,1424,1671,1023,1707,1193,1634,1575,1476,1358,1458,2224,1874,1771,1536,1427,1567,2476,1407,1190,1371,2496,1874,1791,1544,4975","1319,900,803,378,422,1042,1869,935,1630,1110",5852,231,38053,15044,257783,316964,5,"13:50:03 07/09/19 UTC","Tue Jul 09 2019 06:50:55 GMT-0700 (Pacific Daylight Time)","13:50:55 07/09/19 UTC",0,"category_change_1","13:55:14 07/09/19 UTC","no","1110110100","1110110100","1110101010","1110101010",5,7,-2,6,6,0,0.4,0.4,0,"12",8
"8","cU505951","s49104552","C","U",10,4,"cU672427","buv","kal",1,TRUE,TRUE,"0,0,0,0,0,0,0,1,1,0","0,0,0,0,0,0,0,1,1,0",10,"1,3,8,0,3,5,4,3,1,5,7,1,6,4,7,9,0,5,2,9,6,2,0,2,6,4,7,8,8,9","1,0,7,4,5,3,8,2,9,6","0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1","0,0,1,0,0,0,1,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","4427,1791,1531,1437,1935,2464,1309,1406,1262,1644,2139,1387,2666,1328,1489,1220,1468,2207,1568,1295,6734,1109,1253,1389,1851,1126,4685,1066,1151,1253","1059,876,3571,1209,842,928,1264,855,1655,2913",6279,165,37868,14755,277521,336587,6,"13:24:15 07/09/19 UTC","Tue Jul 09 2019 08:24:17 GMT-0500 (Central Daylight Time)","13:24:17 07/09/19 UTC",0,"category_change_1","13:29:46 07/09/19 UTC","no","0000000110","1111111001","0000000110","1111111001",2,2,0,8,8,0,0.2,0.2,0,"10",4
"9","cU912321","s29851267","C","U",12,3,"cU135007","gos","tef",1,TRUE,FALSE,"1,1,0,0,0,0,0,1,1,0","0,1,1,1,1,1,0,0,0,1",2,"8,3,0,4,2,6,4,3,6,7,9,5,8,6,1,9,9,0,7,2,1,3,1,7,4,2,5,8,0,5","0,1,9,3,8,6,7,2,4,5","0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0","0,1,1,1,0,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","34107,3040,1841,1000,3677,2628,1256,38375,438,885,1054,357,606,3124,1375,1322,312,1095,2584,2803,1012,1604,12284,1353,15236,693,987,326,1920,692","1491,997,1289,1202,1244,760,619,1104,851,729",90957,245,115153,15902,402361,624618,10,"13:17:28 07/09/19 UTC","Tue Jul 09 2019 15:17:28 GMT 0200 (Central European Summer Time)","13:17:28 07/09/19 UTC",0,"category_change_1","13:26:22 07/09/19 UTC","no","0111110001","1000001110","1100000110","1100000110",3,3,0,4,4,0,0.4,0.4,0,"12",3
"10","cL238016","s55329142","C","L",40,5,"cL907094","dap","mig",1,TRUE,FALSE,"1,1,1,1,0,0,0,0,0,0","1,1,1,1,1,0,0,0,0,0",9,"0,8,0,3,0,2,3,4,0,5,1,5,1,7,1,2,0,0,1,4,0,6,3,1,0,2,9,2,0,0","6,1,7,0,5,8,9,4,3,2","1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1","0,1,0,1,0,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","4092,1004,861,1453,811,806,758,1137,846,1404,1023,1135,865,921,1062,1047,989,1163,9501,3239,1091,946,4702,1445,10007,6590,1298,1688,867,1182","3688,835,802,863,1201,874,1080,1046,830,897",4058,233,170789,13437,391888,580405,10,"13:55:44 07/09/19 UTC","Tue Jul 09 2019 06:55:46 GMT-0700 (Pacific Daylight Time)","13:55:46 07/09/19 UTC",0,"category_change_1","14:05:21 07/09/19 UTC","no","1111100000","1111100000","1111000000","1111000000",1,1,0,5,4,1,0.4,0.5,0.1,"40",5
