"","X","participant","session_code","condition","distribution","chain","generation","parent","word0","word1","round","final_round","converged","correct_mapping","produced_mapping","score","trainset","testset","trainresponses","testresponses","trainresponse_changes","testresponse_changes","train_RTs","test_RTs","duration_consent","duration_callback","duration_comprehension","duration_instruction","duration_round","duration_experiment","whole_experiment","jointime_webapp2","jointime_user","jointime_user_UTC","comprehension_tries","experiment","created","bonused","system1024","system512","system1024_input","system512_input","N_boundaries","N_boundaries_input","N_boundaries_change","n_label1","n_label1_input","n_label1_change","p_input","p_output","p_change","trajectory","iteration"
"1",1,"iU707225","s29468496","I","U",NA,NA,NA,"seb","nuk",3,FALSE,FALSE,"0,1,1,1,0,0,1,0,0,0","1,1,1,1,1,1,0,0,0,0",6,"2,3,8,9,7,5,5,2,2,1,8,5,4,0,8,7,9,3,7,9,0,6,4,3,4,1,6,0,1,6","3,2,6,1,5,9,7,8,4,0","1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0","1,1,0,1,1,0,0,0,1,1","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2056,1256,1033,845,1376,997,918,871,991,1010,1039,806,1413,1533,1089,3442,998,4354,1871,1579,2544,2092,2162,911,1396,1892,1344,2888,1825,3977","10063,1437,930,1952,1176,983,2747,1552,1181,2635",7858,250,40968,19955,238308,806167,NA,"19:24:59 01/22/20 UTC","Wed Jan 22 2020 11:25:00 GMT-0800 (Pacific Standard Time)","19:25:00 01/22/20 UTC",0,"category_change_2","19:38:18 01/22/20 UTC","no","1111110000","1111110000","0111001000","1000110111",1,4,-3,6,6,0,0.4,0.4,0,"s29468496",3
"2",2,"iR527950","s89344279","I","R",NA,NA,NA,"pon","fud",2,FALSE,FALSE,"0,0,1,1,1,0,1,1,1,0","0,1,0,1,1,1,1,0,0,0",5,"9,8,6,1,5,9,4,9,5,7,3,8,9,4,7,8,6,7,7,9,9,6,8,0,9,9,8,2,9,9","2,0,3,1,9,4,6,8,5,7","0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0","0,0,1,1,0,1,1,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","8602,2330,2904,3239,2437,3046,3995,2823,2836,1719,2058,2235,668,680,741,658,798,535,481,769,598,642,904,923,811,705,757,697,888,1005","926,781,904,559,700,1344,1148,795,589,737",6884,180,66100,10787,219349,1276544,NA,"19:21:59 01/22/20 UTC","Wed Jan 22 2020 11:22:00 GMT-0800 (Pacific Standard Time)","19:22:00 01/22/20 UTC",0,"category_change_2","19:43:09 01/22/20 UTC","no","0101111000","1010000111","0011101110","1100010001",4,4,0,5,4,1,0.4,0.5,0.1,"s89344279",2
"3",3,"iU377249","s67054307","I","U",NA,NA,NA,"buv","kal",4,FALSE,FALSE,"0,0,1,0,1,1,1,0,1,0","1,1,1,0,0,0,0,1,1,1",3,"2,3,5,9,5,0,1,7,2,9,0,5,8,4,8,6,8,4,9,0,1,7,6,1,3,6,7,4,2,3","0,5,3,4,2,9,1,7,8,6","0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1","1,0,0,0,1,1,1,1,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,1,0,0,0,0,0","3336,629,1169,560,513,335,418,385,408,946,832,1563,852,702,369,299,562,638,611,1311,664,853,945,1648,938,612,586,1952,619,880","675,957,749,763,677,1215,915,740,1035,1683",8121,117,29216,14756,198734,924870,NA,"19:24:04 01/22/20 UTC","Wed Jan 22 2020 12:24:01 GMT-0700 (Mountain Standard Time)","19:24:01 01/22/20 UTC",0,"category_change_2","19:39:20 01/22/20 UTC","no","1110000111","1110000111","0010111010","1101000101",2,6,-4,6,5,1,0.5,0.4,-0.1,"s67054307",4
"4",4,"iL296459","s91235485","I","L",NA,NA,NA,"pon","fud",4,FALSE,FALSE,"0,0,0,0,1,1,1,1,1,1","0,0,0,0,0,1,1,1,1,1",9,"1,0,3,0,0,0,4,6,9,0,2,3,1,7,5,2,2,0,0,4,1,5,3,1,0,0,2,1,0,8","1,7,9,4,2,3,6,8,5,0","0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1","0,1,1,0,0,0,1,1,1,0","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0","0,0,0,1,0,0,0,0,0,0","1279,1375,1273,1417,1213,953,1178,1145,854,1207,1845,1898,1128,861,1313,1618,1014,1826,1004,839,1202,1466,1192,1072,997,888,2647,984,1338,910","1021,879,836,1793,973,819,872,821,805,856",8779,154,24482,17241,225283,979654,NA,"19:20:37 01/22/20 UTC","Wed Jan 22 2020 14:20:36 GMT-0500 (Eastern Standard Time)","19:20:36 01/22/20 UTC",0,"category_change_2","19:36:48 01/22/20 UTC","no","0000011111","1111100000","0000111111","1111000000",1,1,0,5,4,1,0.4,0.5,0.1,"s91235485",4
"5",5,"iU969652","s37894501","I","U",NA,NA,NA,"buv","kal",4,FALSE,FALSE,"1,1,1,0,0,0,0,0,1,1","1,0,0,0,1,1,0,1,0,0",3,"7,0,8,0,1,5,4,6,6,6,9,1,2,3,5,4,1,9,5,4,9,3,3,2,0,7,7,8,2,8","6,0,3,5,1,9,2,8,4,7","1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1","0,1,0,1,0,0,0,0,1,1","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1075,984,1126,1001,985,1086,1262,1186,955,931,1018,1025,778,776,1274,887,749,1099,2092,1160,950,1093,806,949,729,887,878,1220,1452,894","814,745,783,793,999,907,888,1015,594,612",16770,133,35484,22719,205348,919780,NA,"19:22:31 01/22/20 UTC","Wed Jan 22 2020 13:22:32 GMT-0600 (Central Standard Time)","19:22:32 01/22/20 UTC",0,"category_change_2","19:37:34 01/22/20 UTC","no","1000110100","1000110100","1110000011","1110000011",5,2,3,4,5,-1,0.5,0.4,-0.1,"s37894501",4
"6",6,"iU223651","s32656971","I","U",NA,NA,NA,"buv","kal",7,FALSE,FALSE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,1,0,1,1,1,1",9,"6,8,0,2,5,5,3,3,0,6,1,9,4,8,3,1,9,2,4,9,5,4,6,1,0,7,7,2,7,8","9,3,5,1,0,4,6,7,8,2","1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1","1,0,0,0,0,1,1,1,1,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,1,0,0,0","1264,721,576,438,690,740,900,760,790,864,598,803,909,889,547,693,806,832,631,720,619,942,689,536,590,624,936,689,881,598","645,392,529,894,530,1039,581,1118,745,558",6430,350,24168,6152,201221,1587551,NA,"19:19:23 01/22/20 UTC","Wed Jan 22 2020 14:18:01 GMT-0500 (Eastern Standard Time)","19:18:01 01/22/20 UTC",0,"category_change_2","19:45:44 01/22/20 UTC","no","0000101111","1111010000","0000001111","1111110000",3,1,2,5,6,-1,0.4,0.5,0.1,"s32656971",7
"7",7,"iL319533","s88843553","I","L",NA,NA,NA,"vit","lem",2,FALSE,FALSE,"1,1,1,1,1,0,0,0,0,0","1,1,1,0,0,0,0,0,0,0",8,"1,0,1,4,6,4,0,1,3,2,0,1,5,3,0,0,2,0,7,3,0,2,8,0,1,2,0,5,9,0","7,0,1,4,2,9,6,5,3,8","1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1","0,1,1,0,1,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","498,438,471,771,692,910,429,418,1838,646,1572,503,1011,730,406,624,896,730,793,904,453,806,431,766,431,407,532,620,1252,2043","809,629,504,784,806,740,813,1059,950,778",8332,183,129957,17165,203325,570853,NA,"19:24:56 01/22/20 UTC","Wed Jan 22 2020 14:24:56 GMT-0500 (Eastern Standard Time)","19:24:56 01/22/20 UTC",0,"category_change_2","19:34:18 01/22/20 UTC","no","1110000000","1110000000","1111100000","1111100000",1,1,0,3,5,-2,0.5,0.3,-0.2,"s88843553",2
"8",8,"iL146837","s98032128","I","L",NA,NA,NA,"seb","nuk",4,FALSE,FALSE,"0,0,0,1,1,1,1,1,1,0","0,0,0,1,1,1,1,0,0,0",8,"0,8,2,9,5,6,3,3,0,0,7,0,2,0,0,2,2,5,1,0,1,1,1,0,4,1,0,4,0,3","9,5,6,0,4,3,7,2,8,1","0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1","0,1,1,0,1,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","873,1594,693,663,826,1065,836,1287,938,578,2359,913,1496,1939,1320,1015,960,845,1064,857,955,669,1208,1028,1338,728,717,986,767,1203","1381,887,1132,891,1051,1803,1086,720,920,896",9425,331,56180,10066,203769,915550,NA,"19:21:39 01/22/20 UTC","Wed Jan 22 2020 14:21:39 GMT-0500 (Eastern Standard Time)","19:21:39 01/22/20 UTC",2,"category_change_2","19:36:46 01/22/20 UTC","no","0001111000","1110000111","0001111110","1110000001",2,2,0,6,4,2,0.4,0.4,0,"s98032128",4
"9",9,"cR303965","s16154856","C","R",28,3,"cR802698","dap","mig",1,TRUE,FALSE,"0,1,0,1,1,1,1,1,0,0","1,0,0,1,1,1,0,0,0,0",6,"5,9,6,1,9,0,5,4,8,6,9,3,7,8,9,6,9,9,7,9,9,8,8,9,4,7,9,7,8,2","4,7,5,8,9,1,2,6,3,0","0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1","1,0,1,0,0,0,0,0,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2650,1038,3759,1228,1210,795,1506,1155,857,2971,1255,1545,1094,1385,1263,1266,896,1885,1624,1003,1881,1203,1175,1638,960,1456,1145,1543,1045,1738","1194,655,959,622,713,1490,2761,1155,1073,1042",6846,405,37809,5203,228869,279131,"5","19:33:14 01/22/20 UTC","Wed Jan 22 2020 13:33:15 GMT-0600 (Central Standard Time)","19:33:15 01/22/20 UTC",0,"category_change_2","19:37:47 01/22/20 UTC","no","1001110000","1001110000","0101111100","1010000011",3,4,-1,4,4,0,0.4,0.4,0,"28",3
"10",10,"iL429573","s32723293","I","L",NA,NA,NA,"gos","tef",4,FALSE,FALSE,"1,1,1,1,0,0,0,0,0,0","1,1,1,1,1,1,0,0,0,0",8,"1,0,6,3,1,0,5,7,1,8,4,2,1,0,0,0,0,2,4,5,2,2,0,0,9,1,0,0,3,3","5,0,7,1,6,8,3,2,9,4","1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1","1,1,0,1,0,0,1,1,0,1","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1088,1436,1131,2014,719,771,1256,736,870,1037,1702,949,1357,1052,757,869,1626,8114,828,1464,903,860,679,868,1414,1337,793,998,1423,1485","1189,725,831,1209,814,1143,1081,1065,799,1625",16430,182,61817,14223,228833,1087044,NA,"19:21:25 01/22/20 UTC","Wed Jan 22 2020 14:21:25 GMT-0500 (Eastern Standard Time)","19:21:25 01/22/20 UTC",0,"category_change_2","19:39:16 01/22/20 UTC","no","1111110000","1111110000","1111000000","1111000000",1,1,0,6,4,2,0.4,0.4,0,"s32723293",4
